eps,date
0.4,3/1/2002
0.28,6/1/2002
0.52,9/1/2002
0.31,12/1/2002
0.39,3/1/2003
0.32,6/1/2003
0.51,9/1/2003
0.34,12/1/2003
0.48,3/1/2004
0.41,6/1/2004
0.62,9/1/2004
0.4,12/1/2004
0.62,3/1/2005
0.43,6/1/2005
0.73,9/1/2005
0.45,12/1/2005
0.61,3/1/2006
0.49,6/1/2006
0.75,9/1/2006
0.51,12/1/2006
0.54,3/1/2007
0.49,6/1/2007
0.83,9/1/2007
0.59,12/1/2007
0.74,3/1/2008
0.66,6/1/2008
0.9,9/1/2008
0.6,12/1/2008
0.54,3/1/2009
0.48,6/1/2009
0.85,9/1/2009
0.6,12/1/2009
0.67,3/1/2010
0.68,6/1/2010
0.97,9/1/2010
0.71,12/1/2010
0.78,3/1/2011
0.73,6/1/2011
1.08,9/1/2011
0.73,12/1/2011
0.89,3/1/2012
0.88,6/1/2012
1.39,9/1/2012
0.95,12/1/2012
1.24,3/1/2013
1.04,6/1/2013
1.4,9/1/2013
0.96,12/1/2013
1.05,3/1/2014
1.06,6/1/2014
1.58,9/1/2014
1.12,12/1/2014
1.35,3/1/2015
1.17,6/1/2015
1.73,9/1/2015
1.09,12/1/2015
